League,Season,Team,Team_Short,Matches,Points,Won,Lost,Draw,Goals,Opponent_Goals,GoalDiff
2. Bundesliga,2006/2007,Karlsruher SC,Karlsruhe,34,70,21,6,7,69,41,28
2. Bundesliga,2006/2007,FC Hansa Rostock,Rostock,34,62,16,4,14,49,30,19
2. Bundesliga,2006/2007,MSV Duisburg,Duisburg,34,60,16,6,12,66,40,26
2. Bundesliga,2006/2007,SC Freiburg,Freiburg,34,60,17,8,9,55,39,16
2. Bundesliga,2006/2007,SpVgg Greuther Fürth,Fürth,34,54,16,12,6,53,40,13
2. Bundesliga,2006/2007,1. FC Kaiserslautern,Kaiserslautern,34,53,13,7,14,48,34,14
2. Bundesliga,2006/2007,FC Augsburg,Augsburg,34,52,14,10,10,43,32,11
2. Bundesliga,2006/2007,TSV 1860 München,1860 München,34,48,14,14,6,47,49,-2
2. Bundesliga,2006/2007,1. FC Köln,Köln,34,46,12,12,10,49,50,-1
2. Bundesliga,2006/2007,Erzgebirge Aue,Aue,34,45,13,15,6,46,48,-2
2. Bundesliga,2006/2007,SC Paderborn 07,Paderborn,34,42,11,14,9,32,41,-9
2. Bundesliga,2006/2007,TuS Koblenz,,34,41,11,15,8,36,45,-9
2. Bundesliga,2006/2007,FC Carl Zeiss Jena,Jena,34,38,9,14,11,40,56,-16
2. Bundesliga,2006/2007,Kickers Offenbach,,34,36,9,16,9,42,59,-17
2. Bundesliga,2006/2007,Rot-Weiss Essen,Rot-Weiss Essen,34,35,8,15,11,34,40,-6
2. Bundesliga,2006/2007,SpVgg Unterhaching,Unterhaching,34,35,9,17,8,33,49,-16
2. Bundesliga,2006/2007,Wacker Burghausen,Burghausen,34,32,7,16,11,42,63,-21
2. Bundesliga,2006/2007,Eintracht Braunschweig,Braunschweig,34,23,4,19,11,20,48,-28
2. Bundesliga,2007/2008,Borussia Mönchengladbach,Gladbach,34,66,18,4,12,71,38,33
2. Bundesliga,2007/2008,TSG 1899 Hoffenheim,TSG,34,60,17,8,9,60,40,20
2. Bundesliga,2007/2008,1. FC Köln,Köln,34,60,17,8,9,62,44,18
2. Bundesliga,2007/2008,1. FSV Mainz 05,Mainz,34,58,16,8,10,61,36,25
2. Bundesliga,2007/2008,SC Freiburg,Freiburg,34,55,15,9,10,49,44,5
2. Bundesliga,2007/2008,SpVgg Greuther Fürth,Fürth,34,52,14,10,10,53,47,6
2. Bundesliga,2007/2008,Alemannia Aachen,Aachen,34,51,14,11,9,49,44,5
2. Bundesliga,2007/2008,TuS Koblenz,,34,47,12,11,11,46,47,-1
2. Bundesliga,2007/2008,SV Wehen Wiesbaden,,34,44,11,12,11,47,53,-6
2. Bundesliga,2007/2008,FC St. Pauli,St. Pauli,34,42,11,14,9,47,53,-6
2. Bundesliga,2007/2008,TSV 1860 München,1860 München,34,41,9,11,14,42,45,-3
2. Bundesliga,2007/2008,VfL Osnabrück,Osnabrück,34,40,10,14,10,43,54,-11
2. Bundesliga,2007/2008,1. FC Kaiserslautern,Kaiserslautern,34,39,9,13,12,37,37,0
2. Bundesliga,2007/2008,FC Augsburg,Augsburg,34,38,10,16,8,39,51,-12
2. Bundesliga,2007/2008,Kickers Offenbach,,34,38,9,14,11,38,60,-22
2. Bundesliga,2007/2008,Erzgebirge Aue,Aue,34,32,7,16,11,49,57,-8
2. Bundesliga,2007/2008,SC Paderborn 07,Paderborn,34,31,6,15,13,33,53,-20
2. Bundesliga,2007/2008,FC Carl Zeiss Jena,Jena,34,29,6,17,11,45,68,-23
2. Bundesliga,2008/2009,SC Freiburg,Freiburg,34,68,21,8,5,60,36,24
2. Bundesliga,2008/2009,1. FSV Mainz 05,Mainz,34,63,18,7,9,62,37,25
2. Bundesliga,2008/2009,1. FC Nürnberg,Nürnberg,34,60,16,6,12,51,29,22
2. Bundesliga,2008/2009,Alemannia Aachen,Aachen,34,56,16,10,8,58,38,20
2. Bundesliga,2008/2009,SpVgg Greuther Fürth,Fürth,34,56,16,10,8,60,46,14
2. Bundesliga,2008/2009,MSV Duisburg,Duisburg,34,55,14,7,13,56,36,20
2. Bundesliga,2008/2009,1. FC Kaiserslautern,Kaiserslautern,34,52,15,12,7,53,48,5
2. Bundesliga,2008/2009,FC St. Pauli,St. Pauli,34,48,14,14,6,52,59,-7
2. Bundesliga,2008/2009,Rot-Weiss Oberhausen,Oberhausen,34,42,11,14,9,35,54,-19
2. Bundesliga,2008/2009,TuS Koblenz,,34,41,11,15,8,47,57,-10
2. Bundesliga,2008/2009,Rot-Weiss Ahlen,Ahlen,34,41,11,15,8,38,57,-19
2. Bundesliga,2008/2009,FC Augsburg,Augsburg,34,40,10,14,10,43,46,-3
