League,Season,Match_Day,Team,Player_Firstname,Player_Surname,Match_Minute,Game_Score,is_Penalty,is_Own_Goal,is_Overtime
2. Bundesliga,2009/2010,1. Spieltag,FC St. Pauli,M.,Lehmann,31,1:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,Rot-Weiss Ahlen,,Döring,43,1:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,FC St. Pauli,,Pichinot,90,2:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,1. FC Union Berlin,,Mosquera,42,0:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,1. FC Union Berlin,,Benyamina,64,0:2,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,1. FC Union Berlin,,Mattuschka,67,0:3,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,Alemannia Aachen,,Drpic,53,0:1,False,True,False
2. Bundesliga,2009/2010,1. Spieltag,Karlsruher SC,,Chrisantus,81,1:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,1. FC Kaiserslautern,,Ilicevic,5,1:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,1. FC Kaiserslautern,,Bugera,17,2:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,SpVgg Greuther Fürth,,Allagui,54,2:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,Fortuna Düsseldorf,,Christ,15,1:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,Fortuna Düsseldorf,O.,Fink,20,2:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,Fortuna Düsseldorf,,Weber,35,3:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,MSV Duisburg,,Wagner,4,0:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,MSV Duisburg,,Wagner,40,0:2,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,FSV Frankfurt,,Cenci,85,1:2,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,FC Energie Cottbus,,Radu,23,1:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,FC Augsburg,,Thurk,27,1:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,FC Energie Cottbus,,Bittroff,45,2:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,FC Energie Cottbus,,Jula,63,3:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,TSV 1860 München,,Cooper,17,1:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,TSV 1860 München,,Lauth,62,2:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,Arminia Bielefeld,,Katongo,29,1:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,Arminia Bielefeld,,Federico,40,2:0,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,FC Hansa Rostock,,Bülow,50,2:1,False,False,False
2. Bundesliga,2009/2010,1. Spieltag,Arminia Bielefeld,,Mijatovic,59,3:1,True,False,False
2. Bundesliga,2009/2010,2. Spieltag,SpVgg Greuther Fürth,Y.,Mokhtari,21,1:0,False,False,False
2. Bundesliga,2009/2010,2. Spieltag,SpVgg Greuther Fürth,,Nehrig,47,2:0,False,False,False
2. Bundesliga,2009/2010,2. Spieltag,SpVgg Greuther Fürth,,Nöthe,56,3:0,False,False,False
2. Bundesliga,2009/2010,2. Spieltag,SpVgg Greuther Fürth,,Nöthe,61,4:0,False,False,False
2. Bundesliga,2009/2010,2. Spieltag,SC Paderborn 07,,Schachten,5,1:0,False,False,False
2. Bundesliga,2009/2010,2. Spieltag,SC Paderborn 07,,Wachsmuth,33,2:0,False,False,False
2. Bundesliga,2009/2010,2. Spieltag,FC Energie Cottbus,,Shao,41,0:1,False,False,False
2. Bundesliga,2009/2010,2. Spieltag,MSV Duisburg,,Wagner,45,1:1,False,False,False
