League,Season,Matchday,Match_Date,Match_Time,Home_Team,Home_Team_Short,Guest_Team,Guest_Team_Short,Home_Goals,Guest_Goals,Home_Points,Guest_Points,Location,Stadium,Viewers
2. Bundesliga,2006/2007,1. Spieltag,2006-08-11,18:00:00,1. FC Kaiserslautern,Kaiserslautern,Rot-Weiss Essen,Rot-Weiss Essen,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,1. Spieltag,2006-08-11,18:00:00,Wacker Burghausen,Burghausen,Karlsruher SC,Karlsruhe,0,4,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,1. Spieltag,2006-08-11,18:00:00,Kickers Offenbach,,FC Carl Zeiss Jena,Jena,2,2,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,1. Spieltag,2006-08-13,14:00:00,MSV Duisburg,Duisburg,TuS Koblenz,,2,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,1. Spieltag,2006-08-13,14:00:00,SC Freiburg,Freiburg,FC Hansa Rostock,Rostock,0,0,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,1. Spieltag,2006-08-13,14:00:00,SpVgg Greuther Fürth,Fürth,TSV 1860 München,1860 München,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,1. Spieltag,2006-08-13,14:00:00,Erzgebirge Aue,Aue,SpVgg Unterhaching,Unterhaching,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,1. Spieltag,2006-08-13,14:00:00,Eintracht Braunschweig,Braunschweig,SC Paderborn 07,Paderborn,0,0,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,1. Spieltag,2006-08-14,20:15:00,FC Augsburg,Augsburg,1. FC Köln,Köln,0,2,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-18,18:00:00,FC Hansa Rostock,Rostock,Erzgebirge Aue,Aue,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-18,18:00:00,TSV 1860 München,1860 München,Kickers Offenbach,,3,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-18,18:00:00,FC Carl Zeiss Jena,Jena,Eintracht Braunschweig,Braunschweig,0,0,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-20,14:00:00,1. FC Köln,Köln,Wacker Burghausen,Burghausen,5,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-20,14:00:00,SC Paderborn 07,Paderborn,FC Augsburg,Augsburg,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-20,14:00:00,SpVgg Unterhaching,Unterhaching,MSV Duisburg,Duisburg,0,1,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-20,14:00:00,Rot-Weiss Essen,Rot-Weiss Essen,SC Freiburg,Freiburg,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-20,14:00:00,TuS Koblenz,,SpVgg Greuther Fürth,Fürth,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,2. Spieltag,2006-08-21,20:15:00,Karlsruher SC,Karlsruhe,1. FC Kaiserslautern,Kaiserslautern,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-25,18:00:00,SC Freiburg,Freiburg,SpVgg Unterhaching,Unterhaching,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-25,18:00:00,Kickers Offenbach,,Karlsruher SC,Karlsruhe,0,1,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-25,18:00:00,FC Carl Zeiss Jena,Jena,1. FC Köln,Köln,3,2,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-27,14:00:00,1. FC Kaiserslautern,Kaiserslautern,SC Paderborn 07,Paderborn,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-27,14:00:00,MSV Duisburg,Duisburg,Erzgebirge Aue,Aue,4,2,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-27,14:00:00,SpVgg Greuther Fürth,Fürth,FC Hansa Rostock,Rostock,1,3,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-27,14:00:00,Eintracht Braunschweig,Braunschweig,TuS Koblenz,,0,2,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-27,14:00:00,FC Augsburg,Augsburg,Rot-Weiss Essen,Rot-Weiss Essen,0,0,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,3. Spieltag,2006-08-28,20:15:00,Wacker Burghausen,Burghausen,TSV 1860 München,1860 München,0,2,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-15,18:00:00,1. FC Köln,Köln,Eintracht Braunschweig,Braunschweig,4,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-15,18:00:00,SpVgg Unterhaching,Unterhaching,FC Augsburg,Augsburg,0,1,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-15,18:00:00,Rot-Weiss Essen,Rot-Weiss Essen,FC Carl Zeiss Jena,Jena,4,4,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-17,14:00:00,Karlsruher SC,Karlsruhe,MSV Duisburg,Duisburg,3,3,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-17,14:00:00,Erzgebirge Aue,Aue,SpVgg Greuther Fürth,Fürth,0,3,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-17,14:00:00,SC Paderborn 07,Paderborn,Kickers Offenbach,,2,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-17,14:00:00,TSV 1860 München,1860 München,SC Freiburg,Freiburg,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-17,14:00:00,TuS Koblenz,,Wacker Burghausen,Burghausen,1,2,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,4. Spieltag,2006-09-18,20:15:00,FC Hansa Rostock,Rostock,1. FC Kaiserslautern,Kaiserslautern,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-22,18:00:00,1. FC Kaiserslautern,Kaiserslautern,TuS Koblenz,,4,3,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-22,18:00:00,SC Freiburg,Freiburg,SpVgg Greuther Fürth,Fürth,3,3,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-22,18:00:00,Eintracht Braunschweig,Braunschweig,Karlsruher SC,Karlsruhe,2,2,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-24,14:00:00,MSV Duisburg,Duisburg,TSV 1860 München,1860 München,0,0,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-24,14:00:00,Wacker Burghausen,Burghausen,Erzgebirge Aue,Aue,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-24,14:00:00,Kickers Offenbach,,SpVgg Unterhaching,Unterhaching,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-24,14:00:00,FC Carl Zeiss Jena,Jena,SC Paderborn 07,Paderborn,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-24,14:00:00,FC Augsburg,Augsburg,FC Hansa Rostock,Rostock,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,5. Spieltag,2006-09-25,20:15:00,1. FC Köln,Köln,Rot-Weiss Essen,Rot-Weiss Essen,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-09-29,18:00:00,SC Paderborn 07,Paderborn,1. FC Köln,Köln,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-09-29,18:00:00,SpVgg Unterhaching,Unterhaching,1. FC Kaiserslautern,Kaiserslautern,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-09-29,18:00:00,TuS Koblenz,,Kickers Offenbach,,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-10-01,14:00:00,SpVgg Greuther Fürth,Fürth,Wacker Burghausen,Burghausen,4,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-10-01,14:00:00,Karlsruher SC,Karlsruhe,FC Augsburg,Augsburg,3,2,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-10-01,14:00:00,Erzgebirge Aue,Aue,SC Freiburg,Freiburg,3,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-10-01,14:00:00,TSV 1860 München,1860 München,FC Carl Zeiss Jena,Jena,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-10-01,14:00:00,Rot-Weiss Essen,Rot-Weiss Essen,Eintracht Braunschweig,Braunschweig,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,6. Spieltag,2006-10-02,20:15:00,FC Hansa Rostock,Rostock,MSV Duisburg,Duisburg,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-13,18:00:00,MSV Duisburg,Duisburg,SC Freiburg,Freiburg,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-13,18:00:00,Eintracht Braunschweig,Braunschweig,TSV 1860 München,1860 München,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-13,18:00:00,FC Augsburg,Augsburg,SpVgg Greuther Fürth,Fürth,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-15,14:00:00,1. FC Kaiserslautern,Kaiserslautern,Erzgebirge Aue,Aue,4,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-15,14:00:00,Wacker Burghausen,Burghausen,FC Hansa Rostock,Rostock,0,1,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-15,14:00:00,SC Paderborn 07,Paderborn,TuS Koblenz,,1,2,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-15,14:00:00,Kickers Offenbach,,Rot-Weiss Essen,Rot-Weiss Essen,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-15,14:00:00,FC Carl Zeiss Jena,Jena,SpVgg Unterhaching,Unterhaching,0,2,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,7. Spieltag,2006-10-16,20:15:00,1. FC Köln,Köln,Karlsruher SC,Karlsruhe,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-20,18:00:00,SC Freiburg,Freiburg,Wacker Burghausen,Burghausen,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-20,18:00:00,SpVgg Greuther Fürth,Fürth,MSV Duisburg,Duisburg,3,5,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-20,18:00:00,Karlsruher SC,Karlsruhe,FC Carl Zeiss Jena,Jena,4,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-20,18:00:00,SpVgg Unterhaching,Unterhaching,1. FC Köln,Köln,0,0,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-22,14:00:00,Erzgebirge Aue,Aue,Eintracht Braunschweig,Braunschweig,3,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-22,14:00:00,FC Hansa Rostock,Rostock,Kickers Offenbach,,2,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-22,14:00:00,TSV 1860 München,1860 München,1. FC Kaiserslautern,Kaiserslautern,0,1,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-22,14:00:00,Rot-Weiss Essen,Rot-Weiss Essen,SC Paderborn 07,Paderborn,2,2,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,8. Spieltag,2006-10-23,20:15:00,TuS Koblenz,,FC Augsburg,Augsburg,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-27,18:00:00,Eintracht Braunschweig,Braunschweig,SpVgg Greuther Fürth,Fürth,0,2,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-27,18:00:00,FC Carl Zeiss Jena,Jena,TuS Koblenz,,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-27,18:00:00,FC Augsburg,Augsburg,TSV 1860 München,1860 München,3,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-29,14:00:00,1. FC Köln,Köln,FC Hansa Rostock,Rostock,2,2,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-29,14:00:00,Wacker Burghausen,Burghausen,MSV Duisburg,Duisburg,1,1,1,1,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-29,14:00:00,SC Paderborn 07,Paderborn,SpVgg Unterhaching,Unterhaching,2,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-29,14:00:00,Kickers Offenbach,,Erzgebirge Aue,Aue,3,1,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-29,14:00:00,Rot-Weiss Essen,Rot-Weiss Essen,Karlsruher SC,Karlsruhe,1,2,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,9. Spieltag,2006-10-30,20:15:00,1. FC Kaiserslautern,Kaiserslautern,SC Freiburg,Freiburg,1,3,0,3,Unknown,Unknown,-1
2. Bundesliga,2006/2007,10. Spieltag,2006-11-03,18:00:00,SC Freiburg,Freiburg,Eintracht Braunschweig,Braunschweig,1,0,3,0,Unknown,Unknown,-1
2. Bundesliga,2006/2007,10. Spieltag,2006-11-03,18:00:00,Karlsruher SC,Karlsruhe,SC Paderborn 07,Paderborn,3,0,3,0,Unknown,Unknown,-1
