League,Season,Team,Team_Short,Matches,Points,Won,Lost,Draw,Goals,Opponent_Goals,GoalDiff
3. Liga,2023/2024,SV Waldhof Mannheim,Mannheim,38,43,11,17,10,51,60,-9
3. Liga,2023/2024,Hallescher FC,Halle,38,40,11,20,7,50,68,-18
3. Liga,2023/2024,MSV Duisburg,Duisburg,38,34,8,20,10,41,65,-24
3. Liga,2023/2024,VfB Lübeck,,38,32,6,18,14,37,77,-40
3. Liga,2023/2024,SC Freiburg II,,38,30,8,24,6,37,64,-27
3. Liga,2024/2025,SG Dynamo Dresden,Dresden,26,48,14,6,6,52,30,22
3. Liga,2024/2025,FC Energie Cottbus,Cottbus,26,48,14,6,6,49,30,19
3. Liga,2024/2025,1. FC Saarbrücken,Saarbrücken,26,47,13,5,8,40,27,13
3. Liga,2024/2025,FC Ingolstadt 04,Ingolstadt,26,42,11,6,9,51,39,12
3. Liga,2024/2025,Arminia Bielefeld,Bielefeld,25,40,11,7,7,35,26,9
3. Liga,2024/2025,FC Viktoria Köln,Viktoria Köln,26,40,12,10,4,42,35,7
3. Liga,2024/2025,FC Hansa Rostock,Rostock,25,38,11,9,5,33,32,1
3. Liga,2024/2025,SC Verl,Verl,26,37,9,7,10,37,35,2
3. Liga,2024/2025,SV Wehen Wiesbaden,Wiesbaden,26,37,10,9,7,39,41,-2
3. Liga,2024/2025,Erzgebirge Aue,Aue,26,37,11,11,4,38,41,-3
3. Liga,2024/2025,Borussia Dortmund II,Dortmund II,26,33,9,11,6,40,41,-1
3. Liga,2024/2025,Rot-Weiss Essen,Rot-Weiss Essen,26,33,9,11,6,37,40,-3
3. Liga,2024/2025,VfL Osnabrück,Osnabrück,26,32,8,10,8,37,43,-6
3. Liga,2024/2025,TSV 1860 München,1860 München,26,32,9,12,5,38,50,-12
3. Liga,2024/2025,SV Sandhausen,Sandhausen,26,31,8,11,7,38,41,-3
3. Liga,2024/2025,Alemannia Aachen,Aachen,25,31,6,6,13,25,29,-4
3. Liga,2024/2025,VfB Stuttgart II,Stuttgart II,25,28,7,11,7,32,42,-10
3. Liga,2024/2025,SV Waldhof Mannheim,Mannheim,25,27,6,10,9,29,30,-1
3. Liga,2024/2025,Hannover II,Hannover 96 II,26,22,6,16,4,30,51,-21
3. Liga,2024/2025,SpVgg Unterhaching,Unterhaching,25,18,3,13,9,29,48,-19
